,Id,Title,Fake/Real,count_quotes,has_quote_start,has_dots,has_apostrophe_s,has_apostrophe,has_number,has_comma,has_colon,has_parenthesis,has_hyphen,has_and,has_percentage,has_interrogation,has_exclamation,has_only_first_upper,has_any_noun_verb_lower,length,ADJ,ADV,NOUN,VERB,PROPN,PUNCT
0,0,"""Humanitarian Aid: Volunteers Bring Relief to Disaster-Hit Communities""",1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,1,0,5,2,0,4
1,1,"Vegan, Low-Carbohydrate Eco-Atkins Diet could Reduce Heart Disease Risk",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,1,0,7,1,1,3
2,2,"Fannie, Freddie Score Win Against Conn. Cities In Tax Row",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,5,0,4,1
3,3,"'Bachelorette' star Andi Dorfman quits job as assistant district attorney, report says",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,12,1,0,5,2,3,3
4,4,Deconstructing the FCC's Net Neutrality Ruling,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,1,1,0
5,5,"RECAP: Mad Men, ""The Monolith""",0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5,1,0,2,0,0,4
6,6,NASA Discovers Earth-Like Planet in Habitable Zone,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,0,3,1,1,1
7,7,Surge in UFO Sightings Sparks Government Investigation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,1,2,0
8,8,Watch: Justin Bieber behave like the biggest brat in the world in court,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13,1,0,3,2,2,1
9,9,ISS dodges space junk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,1,0,0
10,10,Vietnam moves to quell anti-China riots,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,3,0,1,2,1,0
11,11,Kristen Bell's best red carpet looks,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,2,0,1,1,2,0
12,12,"""Total Stops Buying Novatek Stock Following MH17 Tragedy""",1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,0,4,2,1,2
13,13,Watching TV for 3 or More Hours Boosts Chances of Early Death,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,2,0,4,2,0,0
14,14,"""Movie Review: 'Tammy' Comedy Receives Mixed Reviews""",1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7,2,0,4,1,0,5
